"AnchorRepo","AnchorUrl","CandidateRepo","CandidateUrl","CandidateOwner","CandidateLanguage","CandidateStars","CandidateSubdomain","Rank","Score","Qualified","TopicJaccard","LexicalJaccard","LanguageMatch","StarSimilarity","RecencySimilarity","SubdomainMatch","QueryCoverage","SourceQueries","Description"
"onnx/onnx","https://github.com/onnx/onnx","Lightning-AI/pytorch-lightning","https://github.com/Lightning-AI/pytorch-lightning","Lightning-AI","Python","31104","deep-learning","1","1209.64","True","0.3333","0","1","0.9122","1","1","1","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
"onnx/onnx","https://github.com/onnx/onnx","explosion/spaCy","https://github.com/explosion/spaCy","explosion","Python","33538","deep-learning","2","1086.78","True","0.2","0","1","0.8959","1","1","1","topic:ai language:Python stars:>=50 | topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","💫 Industrial-strength Natural Language Processing (NLP) in Python"
"onnx/onnx","https://github.com/onnx/onnx","babysor/MockingBird","https://github.com/babysor/MockingBird","babysor","Python","36901","deep-learning","3","1071.9","True","0.1875","0","1","0.8751","1","1","1","topic:ai language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time"
"onnx/onnx","https://github.com/onnx/onnx","google-deepmind/sonnet","https://github.com/google-deepmind/sonnet","google-deepmind","Python","9919","deep-learning","4","1054.07","True","0.2857","0","1","0.8396","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","TensorFlow-based neural network library"
"onnx/onnx","https://github.com/onnx/onnx","ultralytics/yolov5","https://github.com/ultralytics/yolov5","ultralytics","Python","57330","deep-learning","5","1050.69","True","0.2381","0","1","0.7795","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite"
"onnx/onnx","https://github.com/onnx/onnx","keras-team/keras","https://github.com/keras-team/keras","keras-team","Python","64057","deep-learning","6","1043.95","True","0.2353","0","1","0.7554","1","1","0.6667","topic:deep-learning language:Python stars:>=50 | topic:deep-learning stars:>=100","Deep Learning for humans"
"onnx/onnx","https://github.com/onnx/onnx","kornia/kornia","https://github.com/kornia/kornia","kornia","Python","11192","deep-learning","7","1038.36","True","0.2632","0","1","0.8658","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","🐍 Geometric Computer Vision Library for Spatial AI"
"onnx/onnx","https://github.com/onnx/onnx","flwrlabs/flower","https://github.com/flwrlabs/flower","flwrlabs","Python","6873","deep-learning","8","1025.3","True","0.2692","0","1","0.76","1","1","0.3333","topic:artificial-intelligence language:Python stars:>=50","Flower: A Friendly Federated AI Framework"
"onnx/onnx","https://github.com/onnx/onnx","JaidedAI/EasyOCR","https://github.com/JaidedAI/EasyOCR","JaidedAI","Python","29395","deep-learning","9","1019.79","True","0.12","0","1","0.9245","1","1","1","topic:deep-learning language:Python stars:>=50 | o language:Python stars:>=50 | topic:deep-learning stars:>=100","Ready-to-use OCR with 80+ supported languages and all popular writing scripts including Latin, Chinese, Arabic, Devanagari, Cyrillic and etc."
"onnx/onnx","https://github.com/onnx/onnx","recommenders-team/recommenders","https://github.com/recommenders-team/recommenders","recommenders-team","Python","21666","deep-learning","10","1011.84","True","0.1538","0","1","0.9907","1","1","0.6667","topic:artificial-intelligence language:Python stars:>=50 | topic:deep-learning language:Python stars:>=50","Best Practices on Recommendation Systems"
